特征类别,
SQL,
越界,
身份验证绕过,
设备拒绝,
跨站脚本,
CPU拒绝服务,
路径遍历,
代码执行,
栈缓冲区溢出,
权限访问控制,
整数溢出,
保护机制,
远程代码,
内存,
信息泄露,
弱口令,
输入验证,
逻辑设计,
未授权,
命令,
路径遍历,
权限,
指针引用,
加密密钥,
中间人,
文件上传,
固件文件.
弱密码,
实体注入,
明文存储,
开放重定向,
凭证获取,
